,product_id,date
0,45123,2021-01-01
1,376,2021-01-01
2,32568,2021-01-01
3,25125,2021-01-01
4,5332,2021-01-01
5,25537,2021-01-01
6,42967,2021-01-01
7,4794,2021-01-01
8,27477,2021-01-01
9,7758,2021-01-01
10,9658,2021-01-01
11,31703,2021-01-01
12,22693,2021-01-01
13,13366,2021-01-01
14,7510,2021-01-01
15,42771,2021-01-01
16,4334,2021-01-01
17,46353,2021-01-01
18,45672,2021-01-01
19,33764,2021-01-01
20,23743,2021-01-01
21,44398,2021-01-01
22,14401,2021-01-01
23,4737,2021-01-01
24,8632,2021-01-01
25,32967,2021-01-01
26,28729,2021-01-01
27,3438,2021-01-01
28,48081,2021-01-01
29,26537,2021-01-01
30,16284,2021-01-01
31,378,2021-01-01
32,38278,2021-01-01
33,37304,2021-01-01
34,45858,2021-01-01
35,34634,2021-01-01
36,48999,2021-01-01
37,18641,2021-01-01
38,40230,2021-01-01
39,20899,2021-01-01
40,45657,2021-01-01
41,25303,2021-01-01
42,26640,2021-01-01
43,17126,2021-01-01
44,44530,2021-01-01
45,26772,2021-01-01
46,40165,2021-01-01
47,39913,2021-01-01
48,1146,2021-01-01
49,4500,2021-01-01
50,16611,2021-01-01
51,25543,2021-01-01
52,11380,2021-01-01
53,17200,2021-01-01
54,24322,2021-01-01
55,41675,2021-01-01
56,16212,2021-01-01
57,42316,2021-01-01
58,42515,2021-01-01
59,5100,2021-01-01
60,36219,2021-01-01
61,47357,2021-01-01
62,4449,2021-01-01
63,9343,2021-01-01
64,26939,2021-01-01
65,9737,2021-01-01
66,28245,2021-01-01
67,3054,2021-01-01
68,30928,2021-01-01
69,10352,2021-01-01
70,37300,2021-01-01
71,24835,2021-01-01
72,48660,2021-01-01
73,41293,2021-01-01
74,14497,2021-01-01
75,45046,2021-01-01
76,36996,2021-01-01
77,12118,2021-01-01
78,36735,2021-01-01
79,15502,2021-01-01
80,42786,2021-01-01
81,30728,2021-01-01
82,5068,2021-01-01
83,30420,2021-01-01
84,22239,2021-01-01
85,48871,2021-01-01
86,12521,2021-01-01
87,32606,2021-01-01
88,25770,2021-01-01
89,17855,2021-01-01
90,39768,2021-01-01
91,13350,2021-01-01
92,15041,2021-01-01
93,20189,2021-01-01
94,2193,2021-01-01
95,17929,2021-01-01
96,43711,2021-01-01
97,27168,2021-01-01
98,33377,2021-01-01
99,9773,2021-01-01
100,1537,2021-01-01
101,30432,2021-01-01
102,16909,2021-01-01
103,2169,2021-01-01
104,31561,2021-01-01
105,47683,2021-01-01
106,49010,2021-01-01
107,30979,2021-01-01
108,24329,2021-01-01
109,36548,2021-01-01
110,42846,2021-01-01
111,44375,2021-01-01
112,8947,2021-01-01
113,9871,2021-01-01
114,42297,2021-01-01
115,12940,2021-01-01
116,6479,2021-01-01
117,17653,2021-01-01
118,7598,2021-01-01
119,29671,2021-01-01
120,2632,2021-01-01
121,34975,2021-01-01
122,48247,2021-01-01
123,29802,2021-01-01
124,26884,2021-01-01
125,9202,2021-01-01
126,22570,2021-01-01
127,11567,2021-01-01
