,product_id,date
0,47066,2021-01-02
1,35855,2021-01-02
2,2735,2021-01-02
3,10543,2021-01-02
4,16179,2021-01-02
5,30883,2021-01-02
6,13962,2021-01-02
7,45135,2021-01-02
8,14717,2021-01-02
9,10408,2021-01-02
10,13292,2021-01-02
11,8213,2021-01-02
12,4261,2021-01-02
13,4892,2021-01-02
14,41177,2021-01-02
15,38089,2021-01-02
16,33617,2021-01-02
17,49139,2021-01-02
18,18183,2021-01-02
19,5020,2021-01-02
20,42355,2021-01-02
21,18571,2021-01-02
22,43513,2021-01-02
23,12512,2021-01-02
24,8096,2021-01-02
25,36187,2021-01-02
26,31338,2021-01-02
27,19516,2021-01-02
28,29109,2021-01-02
29,18392,2021-01-02
30,12398,2021-01-02
31,34311,2021-01-02
32,47786,2021-01-02
33,14066,2021-01-02
34,22070,2021-01-02
35,48387,2021-01-02
36,14646,2021-01-02
37,45278,2021-01-02
38,668,2021-01-02
39,48574,2021-01-02
40,46610,2021-01-02
41,48101,2021-01-02
42,43136,2021-01-02
43,47060,2021-01-02
44,37859,2021-01-02
45,36004,2021-01-02
46,29014,2021-01-02
47,39650,2021-01-02
48,5975,2021-01-02
49,38552,2021-01-02
50,27434,2021-01-02
51,25496,2021-01-02
52,19254,2021-01-02
53,11113,2021-01-02
54,26233,2021-01-02
55,15217,2021-01-02
56,24406,2021-01-02
57,32312,2021-01-02
58,42349,2021-01-02
59,48882,2021-01-02
60,27382,2021-01-02
61,48375,2021-01-02
62,49217,2021-01-02
63,37361,2021-01-02
64,1730,2021-01-02
65,44284,2021-01-02
66,5567,2021-01-02
67,48702,2021-01-02
68,18892,2021-01-02
69,44121,2021-01-02
70,31484,2021-01-02
71,7440,2021-01-02
72,46220,2021-01-02
73,22817,2021-01-02
74,14568,2021-01-02
75,12110,2021-01-02
76,2000,2021-01-02
77,43918,2021-01-02
78,47370,2021-01-02
79,17627,2021-01-02
80,20061,2021-01-02
81,43711,2021-01-02
82,103,2021-01-02
83,27556,2021-01-02
84,47364,2021-01-02
85,8007,2021-01-02
86,35430,2021-01-02
87,35642,2021-01-02
88,39602,2021-01-02
89,25064,2021-01-02
90,38764,2021-01-02
91,19628,2021-01-02
92,33182,2021-01-02
93,27238,2021-01-02
94,47470,2021-01-02
95,1621,2021-01-02
96,38718,2021-01-02
97,24896,2021-01-02
98,43517,2021-01-02
99,43598,2021-01-02
100,43393,2021-01-02
101,31946,2021-01-02
102,4756,2021-01-02
103,10410,2021-01-02
104,46474,2021-01-02
105,29354,2021-01-02
